angDist,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,numax,e_numax,dnu,e_dnu,Teff,e_Teff,logg,e_logg,M,e_M,Prot,e_Prot,Crowding,Tcrit,Vsini,e_Vsini,_RA,_DE
0,291.10892,36.81329,1161618, ,4764,2.452,0.07,16.506,2.817,8.82E-04,1157.679,0.531,DSEP,,1,Simbad,291.10892,36.81329,291.10892,36.81329,1161618,34.25,1.88,4.09,0.14,4855,161,2.45,0.03,1.29,0.16,158.34,7.9,0.99,7.26,0,0,291.10892,36.81329
0.003996,291.35999,36.81989,1162746, ,4992,2.346,-0.5,18.275,2.702,6.23E-04,2424.939,0.589,DSEP,,1,Simbad,291.35999,36.81989,291.35999,36.81988889,1162746,27.58,1.81,3.64,0.13,5141,308,2.37,0.04,1.17,0.18,46.74,4.72,1,8.16,0,0,291.35999,36.819889
0,286.03494,43.40271,7739152, ,5497,3.511,-0.5,3.438,1.398,0.0485,618.706,0.295,DSEP,,1,Simbad,286.03494,43.40271,286.03494,43.40271,7739152,162.82,24.85,12.07,0.27,5491,177,3.15,0.07,2.21,0.6,78.08,6.71,1,2.46,0,0,286.03494,43.40271
0.006984,300.09009,43.90444,8126282, ,5074,2.889,0.07,9.621,2.614,0.00414,909.611,0.541,DSEP,,1,Simbad,300.09009,43.90444,300.09009,43.90444194,8126282,95.47,5.79,7.62,0.15,4903,121,2.9,0.03,2.36,0.27,81.97,3.1,1,3.9,0,0,300.09009,43.904442
0.003996,296.85992,47.04518,10088999, ,4981,2.932,0.36,9.268,2.678,0.00474,3244.521,0.517,DSEP,,1,Simbad,296.85992,47.04518,296.85992,47.04518111,10088999,99.65,4.7,9.15,0.37,4981,227,2.92,0.03,1.32,0.17,17.72,0.99,0.99,3.25,0,0,296.85992,47.045181
0.003996,286.77161,39.26694,4141587, ,4673,2.412,0.21,16.823,2.666,7.89E-04,4101.256,0.4,DSEP,,1,Simbad,286.77161,39.26694,286.77161,39.26694111,4141587,32.5,1.8,3.9,0.13,4386,130,2.41,0.03,1.15,0.14,90.95,4.46,1,7.62,0,0,286.77161,39.266941
0.006984,286.20612,49.49008,11497421, ,4826,2.383,-0.38,14.902,1.957,8.33E-04,2838.459,0.3,DSEP,,1,Simbad,286.20612,49.49008,286.20612,49.49008194,11497421,26.92,1.71,3.81,0.14,5022,268,2.35,0.03,0.88,0.13,40.14,3.42,1,7.8,10.19,1.65,286.20612,49.490082
0.003996,286.24744,50.51858,12053188, ,4582,2.375,0.08,15.075,1.967,8.09E-04,1984.545,0.295,DSEP,,1,Simbad,286.24744,50.51858,286.24744,50.51858111,12053188,32.42,2.21,3.95,0.12,4801,176,2.42,0.03,1.24,0.17,121.69,6.09,1,7.52,0,0,286.24744,50.518581
0.006984,301.07248,45.15505,8915786, ,5015,2.928,-0.06,8.181,2.071,0.00533,1071.19,0.598,DSEP,,1,Simbad,301.07248,45.15505,301.07248,45.15504806,8915786,104.22,4.5,8.29,0.2,5065,152,2.94,0.02,2.3,0.22,151.87,4.28,1,3.58,0,0,301.07248,45.155048
0,289.09528,39.22908,4148276, ,5135,2.548,-0.5,13.744,2.431,0.00132,4529.565,0.456,DSEP,,1,Simbad,289.09528,39.22908,289.09528,39.22908,4148276,39.51,3.37,4.52,0.14,5135,270,2.53,0.04,1.45,0.25,98.41,4.98,0.99,6.57,0,0,289.09528,39.22908
0.003996,286.65952,48.59411,11020101, ,5016,2.96,0.21,8.67,2.499,0.0054,1107.385,0.31,DSEP,,1,Simbad,286.65952,48.59411,286.65952,48.59410889,11020101,105.09,5.63,8.63,0.19,5085,155,2.95,0.03,2.02,0.22,62.55,4.6,1,3.44,0,0,286.65952,48.594109
0.006984,284.11145,45.26029,8935612, ,4764,2.486,-0.08,13.608,2.067,0.00116,3079.829,0.305,DSEP,,1,Simbad,284.11145,45.26029,284.11145,45.26028806,8935612,29.42,1.91,3.9,0.14,5038,139,2.39,0.03,1.05,0.14,123.35,7.99,1,7.62,0,0,284.11145,45.260288
0.006984,289.68442,48.57485,11025518, ,5180,2.403,-0.5,17.458,2.81,7.44E-04,7921.953,0.349,DSEP,,1,Simbad,289.68442,48.57485,289.68442,48.57484806,11025518,30.02,1.93,4.16,0.16,5180,267,2.41,0.03,0.9,0.13,101.57,4.86,1,7.14,0,0,289.68442,48.574848
0,284.46292,45.27182,8936339, ,5031,2.551,0.07,15.657,3.177,0.00117,3022.99,0.309,DSEP,,1,Simbad,284.46292,45.27182,284.46292,45.27182,8936339,44,2.26,4.62,0.62,5038,232,2.57,0.03,1.78,0.51,103.18,4.97,1,6.43,0,0,284.46292,45.27182
0.003996,281.14133,47.13289,10118979, ,5006,2.38,0.07,20.198,3.564,6.09E-04,3229.887,0.265,DSEP,,1,Simbad,281.14133,47.13289,281.14133,47.13288889,10118979,30.3,1.68,3.8,0.55,5006,269,2.4,0.03,1.26,0.39,112.75,4.84,0.99,7.82,0,0,281.14133,47.132889
0.006984,288.23883,38.58098,3432732, ,5103,2.824,0.21,11.068,2.975,0.00309,1143.954,0.43,DSEP,,1,Simbad,288.23883,38.58098,288.23883,38.58097806,3432732,80.48,3.81,6.45,0.13,5015,150,2.83,0.02,2.85,0.28,121.75,5.62,1,4.6,0,0,288.23883,38.580978
0.006984,284.43192,44.09207,8149014, ,5046,3.177,-0.52,4.079,0.911,0.0189,3013.922,0.316,DSEP,,1,Simbad,284.43192,44.09207,284.43192,44.09207194,8149014,178.2,11.3,14.73,0.45,5043,153,3.18,0.03,1.15,0.15,3.25,0.17,0.99,2.02,0,0,284.43192,44.092072
0.006984,289.58142,38.50387,3437031, ,4860,2.715,0.21,11.841,2.654,0.00225,1920.195,0.482,DSEP,,1,Simbad,289.58142,38.50387,289.58142,38.50386806,3437031,63.45,2.74,5.6,0.18,5059,214,2.73,0.02,2.49,0.28,138.77,7.22,0.99,5.3,0,0,289.58142,38.503868
0.003996,290.2486,38.57109,3439466, ,4889,2.382,-0.5,15.188,2.028,8.15E-04,3503.365,0.502,DSEP,,1,Simbad,290.2486,38.57109,290.2486,38.57109111,3439466,29.33,1.65,3.91,0.11,4991,235,2.39,0.03,1.01,0.13,46.75,4.41,0.99,7.6,0,0,290.2486,38.571091
0,291.54425,39.27449,4157276, ,4889,2.531,-0.32,12.63,1.978,0.00138,2878.974,0.531,DSEP,,1,Simbad,291.54425,39.27449,291.54425,39.27449,4157276,39.56,2.04,4.36,0.13,4994,171,2.52,0.03,1.61,0.19,49.76,4.6,0.99,6.81,0,0,291.54425,39.27449
