angDist,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,Dnu,numax,DPi1,dnurot,e_dnurot,Ncomp,Simbad,_RA,_DE,log(g),corerot,,[Fe/H],corerot
0.076055,296.24716,47.61308,10482211, ,5040,3.299,0.3,5.271,2.014,0.0194,1632.47,0.484,DSEP,,1,Simbad,296.24716,47.61308,296.2471292,47.6130761,10482211,17.54,234.6,87,480,4.4,2,Simbad,296.24713,47.61308,3.299,960,,0.3,960
0.106396,292.07953,44.32186,8366239, ,4945,3.199,0.02,5.113,1.507,0.0159,850.564,0.396,DSEP,,1,Simbad,292.07953,44.32186,292.0795428,44.3218319,8366239,13.74,185.08,87.8,245,2.62,2,Simbad,292.07954,44.32183,3.199,490,,0.02,490
0.037286,293.35071,38.14371,2998532, ,4812,2.935,0.1,7.195,1.623,0.00614,1492.457,0.614,DSEP,,1,Simbad,293.35071,38.14371,293.3506978,38.1437139,2998532,9.36,105.02,74.8,290,4.82,2,Simbad,293.3507,38.14371,2.935,580,,0.1,580
0.022651,291.34393,44.74614,8623565, ,4852,2.896,0.04,7.797,1.742,0.00518,1926.731,0.422,DSEP,,1,Simbad,291.34393,44.74614,291.3439383,44.7461422,8623565,8.49,95.61,70.25,810,7.4,2,Simbad,291.34394,44.74614,2.896,1620,,0.04,1620
0.032105,291.38489,44.74052,8623655, ,4936,2.836,-0.12,8.711,1.898,0.00404,2782.148,0.423,DSEP,,1,Simbad,291.38489,44.74052,291.3848908,44.7405289,8623655,8.03,82.94,73.7,765,10.07,2,Simbad,291.38489,44.74053,2.836,1530,,-0.12,1530
0.045768,296.62082,43.87621,8043596, ,4849,2.961,-0.32,5.109,0.871,0.0092,1102.683,0.529,DSEP,,1,Simbad,296.62082,43.87621,296.6208269,43.8762217,8043596,10.32,111.53,77.8,430,7.12,3,Simbad,296.62083,43.87622,2.961,860,,-0.32,860
0.12549,285.35968,49.23629,11391750, ,5025,2.838,-0.22,8.952,2.013,0.00395,2176.432,0.294,DSEP,,1,Simbad,285.35968,49.23629,285.359705,49.2363208,11391750,8.02,86.41,72.2,0,6.59,1,Simbad,285.3597,49.23632,2.838,0,,-0.22,0
0.097125,294.60004,40.44929,5284948, ,5017,3.097,0.04,6.534,1.948,0.00984,1511.158,0.6,DSEP,,1,Simbad,294.60004,40.44929,294.6000653,40.4492711,5284948,12.62,154.76,80.8,450,6.35,3,Simbad,294.60007,40.44927,3.097,900,,0.04,900
0.07624,292.57098,48.43312,10977146, ,4861,3.131,0.1,5.498,1.489,0.0126,1403.953,0.393,DSEP,,1,Simbad,292.57098,48.43312,292.5709656,48.4331011,10977146,12.82,160.84,79.7,225,1.8,2,Simbad,292.57097,48.4331,3.131,450,,0.1,450
0.055179,294.74335,40.48926,5285490, ,4838,2.851,-0.28,6.208,0.999,0.00588,1578.718,0.609,DSEP,,1,Simbad,294.74335,40.48926,294.7433622,40.4892478,5285490,7.65,87.58,73.7,0,7.71,1,Simbad,294.74336,40.48925,2.851,0,,-0.28,0
0.063053,294.96524,44.36048,8374394, ,4992,2.921,-0.42,6.226,1.179,0.00688,2205.325,0.524,DSEP,,1,Simbad,294.96524,44.36048,294.9652486,44.3604964,8374394,9.42,101.33,76.5,380,1.47,2,Simbad,294.96525,44.3605,2.921,760,,-0.42,760
0.025608,292.96774,48.40848,10977979, ,4858,3.216,0.04,4.42,1.17,0.0191,936.507,0.379,DSEP,,1,Simbad,292.96774,48.40848,292.9677436,48.4084733,10977979,15.44,196.69,86.3,405,2.27,2,Simbad,292.96774,48.40847,3.216,810,,0.04,810
0.046179,285.42493,38.27189,3096636, ,5151,3.117,-0.24,6.227,1.852,0.0108,2197.653,0.384,DSEP,,1,Simbad,285.42493,38.27189,285.4249153,38.2718956,3096636,12.78,153.34,81.8,0,10.05,1,Simbad,285.42492,38.2719,3.117,0,,-0.24,0
0.0523,288.97351,39.74861,4645474, ,4877,3.108,-0.28,4.331,0.877,0.0152,747.429,0.376,DSEP,,1,Simbad,288.97351,39.74861,288.9735075,39.7485956,4645474,12.86,153.64,81.9,295,5.94,2,Simbad,288.97351,39.7486,3.108,590,,-0.28,590
0.016518,288.98389,39.75484,4645513, ,4795,2.703,0.21,11.361,2.377,0.00228,2420.941,0.444,DSEP,,1,Simbad,288.98389,39.75484,288.9838944,39.7548431,4645513,5.83,62.69,94.08,0,2.54,1,Simbad,288.98389,39.75484,2.703,0,,0.21,0
0.109104,285.87085,38.27988,3097819, ,4797,3.115,0.56,6.517,2.017,0.0103,1923.56,0.393,DSEP,,1,Simbad,285.87085,38.27988,285.8708114,38.2798794,3097819,12.7,161.08,81.4,250,5.22,3,Simbad,285.87081,38.27988,3.115,500,,0.56,500
0.043496,293.66492,48.46977,10979458, ,5000,2.996,-0.06,7.286,1.917,0.00698,2947.339,0.415,DSEP,,1,Simbad,293.66492,48.46977,293.6649328,48.4697614,10979458,10.33,118.72,78.1,495,2.03,2,Simbad,293.66493,48.46976,2.996,990,,-0.06,990
0.029456,285.99918,38.25422,3098179, ,4813,3.053,-0.16,4.719,0.918,0.0123,917.646,0.375,DSEP,,1,Simbad,285.99918,38.25422,285.9991856,38.2542269,3098179,11.99,137.84,80.8,330,4.8,3,Simbad,285.99919,38.25423,3.053,660,,-0.16,660
0.115486,294.38004,39.0606,3965502, ,4858,2.986,0.1,6.899,1.684,0.00722,1709.962,0.646,DSEP,,1,Simbad,294.38004,39.0606,294.3800761,39.0605844,3965502,9.64,115.39,72.9,325,6.37,2,Simbad,294.38008,39.06058,2.986,650,,0.1,650
0.023817,279.86694,43.48884,7728741, ,4948,3.066,-0.06,6.097,1.579,0.00981,2382.043,0.27,DSEP,,1,Simbad,279.86694,43.48884,279.8669486,43.4888378,7728741,11.66,140.66,79.5,485,6.12,2,Simbad,279.86695,43.48884,3.066,970,,-0.06,970
0.060472,280.04855,43.41207,7728958, ,4769,2.892,-0.2,5.598,0.893,0.00717,1099.143,0.272,DSEP,,1,Simbad,280.04855,43.41207,280.0485278,43.4120653,7728958,9.04,95.44,75.6,390,1.18,2,Simbad,280.04853,43.41207,2.892,780,,-0.2,780
0.04726,296.09482,44.35459,8377962, ,4915,3.033,-0.06,6.232,1.528,0.00889,1987.482,0.561,DSEP,,1,Simbad,296.09482,44.35459,296.0948019,44.3545878,8377962,10.98,131.9,76.8,0,1.97,1,Simbad,296.0948,44.35459,3.033,0,,-0.06,0
0.061264,299.16965,43.86186,8053949, ,4801,2.755,0.07,9.726,1.961,0.003,1198.369,0.616,DSEP,,1,Simbad,299.16965,43.86186,299.1696728,43.8618644,8053949,6.53,70.82,69.92,235,7.43,2,Simbad,299.16967,43.86186,2.755,470,,0.07,470
0.108079,299.19824,43.85081,8054055, ,4795,3.011,0.16,6.418,1.542,0.00821,1034.585,0.572,DSEP,,1,Simbad,299.19824,43.85081,299.1982769,43.8507961,8054055,10.47,123.91,76.2,0,7.78,1,Simbad,299.19828,43.8508,3.011,0,,0.16,0
0.089159,295.00711,48.40937,10982591, ,5089,3.24,-0.08,5.183,1.705,0.0172,1672.096,0.441,DSEP,,1,Simbad,295.00711,48.40937,295.0070728,48.4093719,10982591,16.58,206.69,88.7,0,1.63,1,Simbad,295.00707,48.40937,3.24,0,,-0.08,0
0.021113,299.44583,43.82146,8055108, ,4964,2.983,-0.14,6.788,1.617,0.00728,1051.292,0.583,DSEP,,1,Simbad,299.44583,43.82146,299.4458231,43.8214569,8055108,9.21,115.11,65.1,120,4.07,3,Simbad,299.44582,43.82146,2.983,240,,-0.14,240
