angDist,_RAJ2000,_DEJ2000,KIC,numax,e_numax,Dnu,e_Dnu,DPi1,e_DPi1,q,e_q,eps,e_eps,dnurot,e_dnurot,Simbad,_RA,_DE,_RAJ2000,_DEJ2000,KIC,G16,Teff,log(g),[Fe/H],Rad,Mass,rho,Dist,Av,Mod,Ref,H14,Simbad,_RA,_DE
0.0036,291.05618,36.704041,1026084,45.8,0.57,4.45,0.04,250.58,0.15,0.35,0.04,0.032,0.051,40,10,Simbad,291.05618,36.704041,291.05618,36.70404,1026084, ,5039,2.583,0.07,15.032,3.152,0.00131,2665.61,0.579,DSEP,,1,Simbad,291.05618,36.70404
0.0036,291.11435,36.703339,1026326,94.91,1.18,8.87,0.05,74.55,0.02,0.12,0.02,0.068,0.049,160,12,Simbad,291.11435,36.703339,291.11435,36.70334,1026326, ,5107,2.901,-0.42,7.852,1.791,0.00521,2383.092,0.581,DSEP,,1,Simbad,291.11435,36.70334
0.0036,291.33423,36.786629,1027337,74.15,0.9,6.98,0.04,69.67,0.03,0.12,0.02,-0.057,0.094,240,14,Simbad,291.33423,36.786629,291.33423,36.78663,1027337, ,4673,2.787,0.28,8.8,1.728,0.00357,1367.367,0.562,DSEP,,1,Simbad,291.33423,36.78663
0,291.10892,36.81329,1161618,33.71,0.51,4.08,0.04,329.95,0.16,0.19,0.03,-0.043,0.049,45,11,Simbad,291.10892,36.81329,291.10892,36.81329,1161618, ,4764,2.452,0.07,16.506,2.817,8.82E-04,1157.679,0.531,DSEP,,1,Simbad,291.10892,36.81329
0.0036,291.35999,36.819889,1162746,27.18,0.48,3.81,0.04,279.19,0.12,0.3,0.04,0.02,0.061,65,12,Simbad,291.35999,36.819889,291.35999,36.81989,1162746, ,4992,2.346,-0.5,18.275,2.702,6.23E-04,2424.939,0.589,DSEP,,1,Simbad,291.35999,36.81989
0,291.5134,36.83395,1163453,39.78,0.56,4.43,0.04,301.61,0.25,0.26,0.03,-0.171,0.072,25,7,Simbad,291.5134,36.83395,291.5134,36.83395,1163453, ,5026,2.504,0.07,16.891,3.319,9.70E-04,2836.904,0.596,DSEP,,1,Simbad,291.5134,36.83395
0.0036,291.95126,36.998039,1297272,31.4,0.53,4.18,0.04,321.21,0.23,0.38,0.05,-0.061,0.073,40,10,Simbad,291.95126,36.998039,291.95126,36.99804,1297272, ,4830,2.405,-0.36,14.558,1.965,8.97E-04,5263.808,0.611,DSEP,,1,Simbad,291.95126,36.99804
0,290.87631,37.07666,1430118,159.51,2.03,13.38,0.07,83.06,0.09,0.15,0.02,0.301,0.079,260,20,Simbad,290.87631,37.07666,290.87631,37.07666,1430118, ,5094,3.126,-0.1,6.247,1.902,0.011,2157.178,0.56,DSEP,,1,Simbad,290.87631,37.07666
0,291.10834,37.07449,1430985,122,1.47,10.52,0.05,74.97,0.02,0.15,0.02,0.321,0.036,480,14,Simbad,291.10834,37.07449,291.10834,37.07449,1430985, ,4951,3.004,-0.34,5.344,1.051,0.0097,1472.456,0.555,DSEP,,1,Simbad,291.10834,37.07449
0.0072,291.19125,37.012482,1431316,37.4,0.54,4.3,0.04,322.81,0.29,0.33,0.04,-0.111,0.083,40,10,Simbad,291.19125,37.012482,291.19125,37.01248,1431316, ,5019,2.499,0.07,16.994,3.322,9.53E-04,5000.106,0.576,DSEP,,1,Simbad,291.19125,37.01248
0.0072,291.72574,37.038528,1433803,150.38,1.71,12.22,0.05,79.98,0.05,0.13,0.02,0.274,0.05,370,17,Simbad,291.72574,37.038528,291.72574,37.03853,1433803, ,4763,3.089,0.28,5.833,1.521,0.0108,424.722,0.265,DSEP,,1,Simbad,291.72574,37.03853
0.0036,291.77466,37.095169,1434013,26.05,0.51,4.01,0.04,295.86,0.11,0.2,0.04,-0.177,0.063,50,12,Simbad,291.77466,37.095169,291.77466,37.09517,1434013, ,5196,3.355,-0.22,4.388,1.589,0.0265,1900.037,0.596,DSEP,,1,Simbad,291.77466,37.09517
0.0036,290.62167,37.174599,1569842,134.72,1.62,11.85,0.05,80.54,0.06,0.15,0.02,0.382,0.069,350,17,Simbad,290.62167,37.174599,290.62167,37.1746,1569842, ,4832,3.049,-0.22,4.661,0.889,0.0124,549.933,0.334,DSEP,,1,Simbad,290.62167,37.1746
0.0036,291.0589,37.195309,1571780,47.2,0.57,4.48,0.04,329.54,0.31,0.25,0.03,-0.178,0.064,70,17,Simbad,291.0589,37.195309,291.0589,37.19531,1571780, ,4919,2.584,0.21,14.825,3.078,0.00133,1285.586,0.537,DSEP,,1,Simbad,291.0589,37.19531
0,291.92874,37.15377,1575886,100.84,1.09,8.08,0.04,230.65,0.71,0.25,0.03,-0.063,0.139,80,20,Simbad,291.92874,37.15377,291.92874,37.15377,1575886, ,5008,2.932,-0.04,8.162,2.078,0.00538,1100.816,0.538,DSEP,,1,Simbad,291.92874,37.15377
0,292.04239,37.11235,1576469,90.6,0.98,7.41,0.04,284.8,0.64,0.23,0.03,-0.102,0.096,67,6,Simbad,292.04239,37.11235,292.04239,37.11235,1576469, ,5210,2.845,0.07,10.731,2.938,0.00335,992.616,0.518,DSEP,,1,Simbad,292.04239,37.11235
0.0072,292.08014,37.149448,1576646,85.26,1.01,7.71,0.04,70.52,0.05,0.12,0.02,0.178,0.123,205,16,Simbad,292.08014,37.149448,292.08014,37.14945,1576646, ,4811,2.852,-0.06,7.496,1.457,0.00487,2225.828,0.612,DSEP,,1,Simbad,292.08014,37.14945
0.0036,290.68326,37.219131,1717994,31.18,0.52,4.11,0.04,322.72,0.11,0.22,0.03,-0.026,0.034,,,Simbad,290.68326,37.219131,290.68326,37.21913,1717994, ,4873,2.422,-0.44,14.173,1.935,9.58E-04,5245.1,0.549,DSEP,,1,Simbad,290.68326,37.21913
0.0072,291.03638,37.207062,1719422,136.43,1.61,11.33,0.05,76.98,0.06,0.12,0.02,0.328,0.077,260,17,Simbad,291.03638,37.207062,291.03638,37.20706,1719422, ,4923,3.054,-0.18,5.337,1.177,0.0109,1366.097,0.543,DSEP,,1,Simbad,291.03638,37.20706
